client_id,age,credit_score,credit_amount,interest_rate,annual_interest_payment,age_group,credit_category
client00001,58,214,239722,20.35,48783.4,40-60 middle,low
client00002,19,381,273232,13.62,37214.2,18-25 young,middle
client00003,33,328,222114,13.62,30251.9,25-40 adult,middle
client00004,26,204,287592,20.35,58525.0,25-40 adult,low
client00005,61,658,89749,9.81,8804.4,60-80 elderly,high
client00006,23,704,98615,6.74,6646.7,18-25 young,high
client00007,45,132,89419,20.35,18196.8,40-60 middle,low
client00008,19,195,137388,20.35,27958.5,18-25 young,low
client00009,31,338,71365,13.62,9719.9,25-40 adult,middle
client00010,50,716,89095,6.74,6005.0,40-60 middle,high
client00011,19,674,91745,9.81,9000.2,18-25 young,high
client00012,30,833,248298,2.35,5835.0,25-40 adult,high
client00013,59,818,466813,2.35,10970.1,40-60 middle,high
client00014,52,529,131325,9.81,12883.0,40-60 middle,high
client00015,32,559,221980,9.81,21776.2,25-40 adult,high
client00016,55,384,233102,13.62,31748.5,40-60 middle,middle
client00017,69,106,223574,20.35,45497.3,60-80 elderly,low
client00018,66,263,152749,20.35,31084.4,60-80 elderly,low
client00019,62,532,83803,9.81,8221.1,60-80 elderly,high
client00020,39,384,205986,13.62,28055.3,25-40 adult,middle
client00021,27,320,235816,13.62,32118.1,25-40 adult,middle
client00022,66,444,295891,13.62,40300.4,60-80 elderly,middle
client00023,24,194,72208,20.35,14694.3,18-25 young,low
client00024,42,199,131155,20.35,26690.0,40-60 middle,low
client00025,40,452,196518,13.62,26765.8,25-40 adult,middle
client00026,56,370,148744,13.62,20258.9,40-60 middle,middle
client00027,69,144,218687,20.35,44502.8,60-80 elderly,low
client00028,64,570,257529,9.81,25263.6,60-80 elderly,high
client00029,52,227,136108,20.35,27698.0,40-60 middle,low
client00030,42,180,263171,20.35,53555.3,40-60 middle,low
client00031,53,400,83500,13.62,11372.7,40-60 middle,middle
client00032,58,733,91958,6.74,6198.0,40-60 middle,high
client00033,41,691,93030,9.81,9126.2,40-60 middle,high
client00034,30,821,969226,2.35,22776.8,25-40 adult,high
client00035,22,146,298278,20.35,60699.6,18-25 young,low
client00036,60,333,243665,13.62,33187.2,40-60 middle,middle
client00037,67,396,229677,13.62,31282.0,60-80 elderly,middle
client00038,23,338,289192,13.62,39388.0,18-25 young,middle
client00039,24,489,187990,13.62,25604.2,18-25 young,middle
client00040,35,564,74498,9.81,7308.3,25-40 adult,high
client00041,58,473,219351,13.62,29875.6,40-60 middle,middle
client00042,28,479,225756,13.62,30748.0,25-40 adult,middle
client00043,40,314,160993,13.62,21927.2,25-40 adult,middle
client00044,60,373,183297,13.62,24965.1,40-60 middle,middle
client00045,62,799,479404,6.74,32311.8,60-80 elderly,high
client00046,59,173,54779,20.35,11147.5,40-60 middle,low
client00047,56,750,480211,6.74,32366.2,40-60 middle,high
client00048,28,646,80120,9.81,7859.8,25-40 adult,high
client00049,64,350,97254,13.62,13246.0,60-80 elderly,middle
client00050,28,573,299343,9.81,29365.5,25-40 adult,high
client00051,42,376,106149,13.62,14457.5,40-60 middle,middle
client00052,58,804,458332,2.35,10770.8,40-60 middle,high
client00053,53,324,298425,13.62,40645.5,40-60 middle,middle
client00054,61,432,250843,13.62,34164.8,60-80 elderly,middle
client00055,67,157,177473,20.35,36115.8,60-80 elderly,low
client00056,32,132,100333,20.35,20417.8,25-40 adult,low
client00057,69,423,109386,13.62,14898.4,60-80 elderly,middle
client00058,43,374,86061,13.62,11721.5,40-60 middle,middle
client00059,22,316,90617,13.62,12342.0,18-25 young,middle
client00060,54,835,180913,2.35,4251.5,40-60 middle,high
client00061,38,317,127540,13.62,17370.9,25-40 adult,middle
client00062,59,611,97670,9.81,9581.4,40-60 middle,high
client00063,43,758,926403,6.74,62439.6,40-60 middle,high
client00064,47,246,76513,20.35,15570.4,40-60 middle,low
client00065,34,242,183087,20.35,37258.2,25-40 adult,low
client00066,33,674,95260,9.81,9345.0,25-40 adult,high
client00067,52,369,191497,13.62,26081.9,40-60 middle,middle
client00068,65,698,97365,9.81,9551.5,60-80 elderly,high
client00069,45,697,94203,9.81,9241.3,40-60 middle,high
client00070,43,470,281651,13.62,38360.9,40-60 middle,middle
client00071,32,241,188027,20.35,38263.5,25-40 adult,low
client00072,50,605,71236,9.81,6988.3,40-60 middle,high
client00073,23,148,223520,20.35,45486.3,18-25 young,low
client00074,25,256,138280,20.35,28140.0,18-25 young,low
client00075,58,263,279741,20.35,56927.3,40-60 middle,low
client00076,68,796,903531,6.74,60898.0,60-80 elderly,high
client00077,45,710,90251,6.74,6082.9,40-60 middle,high
client00078,22,494,84353,13.62,11488.9,18-25 young,middle
client00079,42,710,89570,6.74,6037.0,40-60 middle,high
client00080,47,641,82344,9.81,8077.9,40-60 middle,high
client00081,34,666,75054,9.81,7362.8,25-40 adult,high
client00082,18,796,270128,6.74,18206.6,18-25 young,high
client00083,64,217,97407,20.35,19822.3,60-80 elderly,low
client00084,61,649,97241,9.81,9539.3,60-80 elderly,high
client00085,66,373,231625,13.62,31547.3,60-80 elderly,middle
client00086,67,756,908554,6.74,61236.5,60-80 elderly,high
client00087,39,214,213771,20.35,43502.4,25-40 adult,low
client00088,36,545,262085,9.81,25710.5,25-40 adult,high
client00089,28,564,286625,9.81,28117.9,25-40 adult,high
client00090,18,839,273580,2.35,6429.1,18-25 young,high
client00091,64,369,239053,13.62,32559.0,60-80 elderly,middle
client00092,50,282,164733,20.35,33523.2,40-60 middle,low
client00093,50,208,61453,20.35,12505.7,40-60 middle,low
client00094,58,405,157704,13.62,21479.3,40-60 middle,middle
client00095,58,619,81937,9.81,8038.0,40-60 middle,high
